Concept,Rel,Feature,Frequency,上级类别,下级类别
包,需要,需要-材料,2.0,人造物,工具
包,需要,需要-缝纫,2.0,人造物,工具
包,需要,需要-维护,2.0,人造物,工具
包,有,有-背带,2.0,人造物,工具
包,有,有-多种价格,2.0,人造物,工具
包,有,有-夹层,2.0,人造物,工具
包,有,有-口袋,2.0,人造物,工具
包,有,有-容量,2.0,人造物,工具
包子,是,是-食物,25.0,食物,固态干粮
包子,有,有-馅儿,23.0,食物,固态干粮
包子,可以,可以-食用,20.0,食物,固态干粮
包子,像,像-馒头,12.0,食物,固态干粮
包子,有,有-面粉,12.0,食物,固态干粮
包子,有,有-皮,11.0,食物,固态干粮
包子,是,是-白色的,10.0,食物,固态干粮
包子,需要,需要-蒸,10.0,食物,固态干粮
包子,有,有-褶皱,9.0,食物,固态干粮
包子,是,是-面食,8.0,食物,固态干粮
包子,可以,可以-打狗,6.0,食物,固态干粮
包子,是,是-圆形,5.0,食物,固态干粮
包子,是,是-早餐,5.0,食物,固态干粮
包子,是,是-主食,5.0,食物,固态干粮
包子,需要,需要-制造,4.0,食物,固态干粮
包子,需要,需要-煮,4.0,食物,固态干粮
包子,可以,可以-饱腹,3.0,食物,固态干粮
包子,是,是-好吃的,3.0,食物,固态干粮
包子,是,是-软的,3.0,食物,固态干粮
包子,像,像-大饼,3.0,食物,固态干粮
包子,像,像-饺子,3.0,食物,固态干粮
包子,需要,需要-包,3.0,食物,固态干粮
包子,需要,需要-水,3.0,食物,固态干粮
包子,需要,需要-蒸笼,3.0,食物,固态干粮
包子,有,有-多种味道,3.0,食物,固态干粮
包子,有,有-多种种类,3.0,食物,固态干粮
包子,可以,可以-充饥,2.0,食物,固态干粮
包子,可以,可以-买卖,2.0,食物,固态干粮
包子,其他,其他-豆浆,2.0,食物,固态干粮
包子,是,是-能量,2.0,食物,固态干粮
包子,是,是-香的,2.0,食物,固态干粮
包子,是,是-中国的,2.0,食物,固态干粮
